source,target,tgt_lng
リリアナ・マスカレード,莉莉安娜·玛斯柯瑞德,zh-CN
Petelgeuse Romanée-Conti,贝特鲁吉乌斯·罗曼尼康帝,zh-CN
ペテルギウス・ロマネコンティ,贝特鲁吉乌斯·罗曼尼康帝,zh-CN
Regulus Corneas,雷古勒斯·柯尔尼亚斯,zh-CN
レグルス・コルニアス,雷古勒斯·柯尔尼亚斯,zh-CN
Lye Batenkaitos,莱伊·巴登凯托斯,zh-CN
ライ・バテンカイトス,莱伊·巴登凯托斯,zh-CN
Roy Alphard,罗伊·爱尔法德,zh-CN
ロイ・アルファルド,罗伊·爱尔法德,zh-CN
Rui Arneb,露伊·阿尔尼普,zh-CN
ルイ・アルネブ,露伊·阿尔尼普,zh-CN
Spica,丝碧卡,zh-CN
スピカ,丝碧卡,zh-CN
Leilani Alnair,蕾拉妮·阿尔奈尔,zh-CN
レイラニ・アルナイル,蕾拉妮·阿尔奈尔,zh-CN
Sirius Romanée-Conti,叙吕厄斯·罗曼尼康帝,zh-CN
シリウス・ロマネコンティ,叙吕厄斯·罗曼尼康帝,zh-CN
Capella Emerada Lugunica,卡培拉·艾美拉达·露格尼卡,zh-CN
カペラ・エメラダ・ルグニカ,卡培拉·艾美拉达·露格尼卡,zh-CN
Stride Vollachia,史泰德·佛拉基亚,zh-CN
ストライド・ヴォラキア,史泰德·佛拉基亚,zh-CN
Satella,莎缇拉,zh-CN
サテラ,莎缇拉,zh-CN
Typhon,缇丰,zh-CN
テュフォン,缇丰,zh-CN
Minerva,密涅瓦,zh-CN
ミネルヴァ,密涅瓦,zh-CN
Daphne,达芙妮,zh-CN
ダフネ,达芙妮,zh-CN
Carmilla,卡蜜拉,zh-CN
カーミラ,卡蜜拉,zh-CN
Sekhmet,赛赫麦特,zh-CN
セクメト,赛赫麦特,zh-CN
Pandora,潘朵拉,zh-CN
パンドラ,潘朵拉,zh-CN
Hector,赫克特,zh-CN
ヘクトール,赫克特,zh-CN
Reid Astrea,雷德·阿斯特雷亚,zh-CN
レイド・アストレア,雷德·阿斯特雷亚,zh-CN
Volcanica,波尔肯尼卡,zh-CN
ボルカニカ,波尔肯尼卡,zh-CN
Flugel,富鲁盖尔,zh-CN
フリューゲル,富鲁盖尔,zh-CN
Shaula,夏乌拉,zh-CN
シャウラ,夏乌拉,zh-CN
Elsa Granhiert,艾尔莎·葛兰希尔特,zh-CN
エルザ・グランヒルテ,艾尔莎·葛兰希尔特,zh-CN
Meili Portroute,梅莉·波特鲁特,zh-CN
メィリィ・ポートルート,梅莉·波特鲁特,zh-CN
Miklotov McMahon,麦克罗托夫·马克马洪,zh-CN
マイクロトフ・マクマホン,麦克罗托夫·马克马洪,zh-CN
Vincent Vollachia,文森特·佛拉基亚,zh-CN
ヴィンセント・ヴォラキア,文森特·佛拉基亚,zh-CN
Return by Death,死亡回归,zh-CN
死に戻り,死亡回归,zh-CN
Invisible Providence,不可视之神意,zh-CN
インビジブル・プロヴィデンス,不可视之神意,zh-CN
Cor Leonis,科尔·雷奥尼斯,zh-CN
コル・レオニス,科尔·雷奥尼斯,zh-CN
Unseen Hands,不可视之手,zh-CN
見えざる手,不可视之手,zh-CN
Lion's Heart,狮子的心脏,zh-CN
獅子の心臓,狮子的心脏,zh-CN
Little King,小国王,zh-CN
小さな王,小国王,zh-CN
Book of Wisdom,睿智之书,zh-CN
叡智の書,睿智之书,zh-CN
Gospel,福音,zh-CN
Divine Protection,加护,zh-CN
加護,加护,zh-CN
Authority,权能,zh-CN
権能,权能,zh-CN
Witch Factor,魔女因子,zh-CN
魔女因子,魔女因子,zh-CN
Curse,咒术,zh-CN
呪術,咒术,zh-CN
Mana,魔力,zh-CN
マナ,魔力,zh-CN
Od,魂力,zh-CN
オド,魂力,zh-CN
Od Lagna,欧德·拉格纳,zh-CN
オド・ラグナ,欧德·拉格纳,zh-CN
魔女の残り香,魔女的残香,zh-CN
月蝕,月蚀,zh-CN
日蝕,日蚀,zh-CN
竜歴石,龙历石,zh-CN
龍の血,龙之血,zh-CN
聖金貨,圣金币,zh-CN
フリューゲルの大樹,富鲁盖尔的大树,zh-CN
封魔石の祠,封魔石之祠,zh-CN
Kingdom of Lugunica,露格尼卡王国,zh-CN
ルグニカ王国,露格尼卡王国,zh-CN
Lugunica,露格尼卡,zh-CN
ルグニカ,露格尼卡,zh-CN
王都ルグニカ,王都露格尼卡,zh-CN
メイザース領,梅札斯领地,zh-CN
リーファウス街道,鲁法斯街道,zh-CN
アーラム村,阿拉姆村,zh-CN
Arlam Village,阿拉姆村,zh-CN
Priestella,普利斯提拉,zh-CN
プリステラ,普利斯提拉,zh-CN
Pleiades Watchtower,普莱迪斯监视塔,zh-CN
プレアデス監視塔,普莱迪斯监视塔,zh-CN
アウグリア砂丘,奥吉拉沙丘,zh-CN
Elior Forest,艾力欧尔大森林,zh-CN
エリオール大森林,艾力欧尔大森林,zh-CN
Sanctuary,圣域,zh-CN
聖域,圣域,zh-CN
Vollachia Empire,佛拉基亚帝国,zh-CN
神聖ヴォラキア帝国,神圣佛拉基亚帝国,zh-CN
Vollachia,佛拉基亚,zh-CN
Kararagi,卡拉拉基,zh-CN
カララギ都市国家,卡拉拉基城邦,zh-CN
Holy Kingdom of Gusteko,古斯提克圣王国,zh-CN
グステコ聖王国,古斯提克圣王国,zh-CN
地竜,地龙,zh-CN
水竜,水龙,zh-CN
飛竜,飞龙,zh-CN
ライガー,狮虎,zh-CN
白鯨,白鲸,zh-CN
大兎,大兔,zh-CN
黒蛇,黑蛇,zh-CN
Witch Cult,魔女教,zh-CN
魔女教,魔女教,zh-CN
Royal Selection,王选,zh-CN
王選,王选,zh-CN
賢人会,贤人会,zh-CN
亜人,亚人,zh-CN
亜人戦争,亚人战争,zh-CN
三英傑,三英杰,zh-CN
剣聖,剑圣,zh-CN
剣鬼,剑鬼,zh-CN
